time[sec],omega_t_b(X)[rad/s],omega_t_b(Y)[rad/s],omega_t_b(Z)[rad/s],q_t_i2b(0)[-],q_t_i2b(1)[-],q_t_i2b(2)[-],q_t_i2b(3)[-],torque_t_b(X)[Nm],torque_t_b(Y)[Nm],torque_t_b(Z)[Nm],h_total[Nms],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],lat[rad],lon[rad],alt[m],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],
46.5,8.84735e-05,-0.000252849,8.63002e-05,0.00102952,-0.0029393,0.00100196,0.999995,1.895e-07,-5.43809e-07,1.86531e-07,2.81439e-05,1.0144e+06,-1.149e+06,7.0662e+06,-7328.92,382.406,1112.17,-7321.48,399.419,1154.42,1.35842,1.32208,872808,-1.0144e+06,1.149e+06,-7.0662e+06,7328.92,-382.406,-1112.17,-1.05364e+06,1.13653e+06,-7.06247e+06,7321.48,-399.419,-1154.42,-5.2378e+10,-1.26514e+11,-5.4852e+10,35652.2,-9977.04,-5271.73,-5.29524e+10,-1.26521e+11,-5.42819e+10,35600.6,-10059.5,-5460.53,0.00226334,-0.000898013,0.00171799,
47,8.94209e-05,-0.000255569,8.72329e-05,0.00105175,-0.00300286,0.00102365,0.999994,1.89474e-07,-5.4381e-07,1.8656e-07,2.84466e-05,1.01074e+06,-1.14881e+06,7.06675e+06,-7329.46,383.009,1108.45,-7321.87,400.384,1151.62,1.35878,1.32033,872811,-1.01074e+06,1.14881e+06,-7.06675e+06,7329.46,-383.009,-1108.45,-1.05083e+06,1.13606e+06,-7.06297e+06,7321.87,-400.384,-1151.62,-5.2378e+10,-1.26514e+11,-5.4852e+10,35652.7,-9977.64,-5268.01,-5.29647e+10,-1.26521e+11,-5.42696e+10,35600,-10061.9,-5460.89,0.00126025,-0.00230927,0.00209532,
47.5,9.03683e-05,-0.000258288,8.81657e-05,0.00107423,-0.00306709,0.00104557,0.999994,1.89448e-07,-5.43812e-07,1.8659e-07,2.87493e-05,1.00707e+06,-1.14862e+06,7.06731e+06,-7329.98,383.612,1104.73,-7322.25,401.353,1148.83,1.35914,1.31858,872813,-1.00707e+06,1.14862e+06,-7.06731e+06,7329.98,-383.612,-1104.73,-1.04803e+06,1.13559e+06,-7.06346e+06,7322.25,-401.353,-1148.83,-5.2378e+10,-1.26514e+11,-5.4852e+10,35653.3,-9978.24,-5264.29,-5.29772e+10,-1.26521e+11,-5.42571e+10,35599.4,-10064.3,-5461.3,0.00177117,-0.00182174,0.000922227,
48,9.13155e-05,-0.000261007,8.90988e-05,0.00109694,-0.003132,0.00106773,0.999994,1.89422e-07,-5.43813e-07,1.86621e-07,2.90519e-05,1.00341e+06,-1.14843e+06,7.06786e+06,-7330.51,384.214,1101.01,-7322.63,402.325,1146.05,1.3595,1.31682,872815,-1.00341e+06,1.14843e+06,-7.06786e+06,7330.51,-384.214,-1101.01,-1.04523e+06,1.13511e+06,-7.06395e+06,7322.63,-402.325,-1146.05,-5.2378e+10,-1.26514e+11,-5.4852e+10,35653.8,-9978.84,-5260.57,-5.29899e+10,-1.26521e+11,-5.42445e+10,35598.8,-10066.7,-5461.75,0.000392761,-0.00078768,0.00329856,
48.5,9.22625e-05,-0.000263726,9.00319e-05,0.00111988,-0.00319759,0.00109012,0.999994,1.89396e-07,-5.43815e-07,1.86651e-07,2.93546e-05,999743,-1.14824e+06,7.06841e+06,-7331.04,384.817,1097.3,-7323.01,403.301,1143.27,1.35986,1.31505,872817,-999743,1.14824e+06,-7.06841e+06,7331.04,-384.817,-1097.3,-1.04245e+06,1.13464e+06,-7.06443e+06,7323.01,-403.301,-1143.27,-5.2378e+10,-1.26514e+11,-5.4852e+10,35654.3,-9979.44,-5256.85,-5.30026e+10,-1.26521e+11,-5.42317e+10,35598.2,-10069.1,-5462.24,8.82568e-05,-0.00271748,0.00192696,
49,9.32094e-05,-0.000266445,9.09652e-05,0.00114307,-0.00326386,0.00111275,0.999993,1.89369e-07,-5.43816e-07,1.86682e-07,2.96573e-05,996077,-1.14804e+06,7.06896e+06,-7331.56,385.419,1093.58,-7323.39,404.281,1140.51,1.36022,1.31328,872819,-996077,1.14804e+06,-7.06896e+06,7331.56,-385.419,-1093.58,-1.03967e+06,1.13415e+06,-7.06492e+06,7323.39,-404.281,-1140.51,-5.2378e+10,-1.26514e+11,-5.4852e+10,35654.8,-9980.04,-5253.13,-5.30155e+10,-1.26522e+11,-5.42188e+10,35597.6,-10071.6,-5462.77,-0.000391246,-0.000344642,0.00082149,
49.5,9.41562e-05,-0.000269164,9.18987e-05,0.00116649,-0.00333081,0.00113561,0.999993,1.89342e-07,-5.43818e-07,1.86713e-07,2.996e-05,992411,-1.14785e+06,7.0695e+06,-7332.08,386.022,1089.86,-7323.76,405.264,1137.75,1.36058,1.3115,872821,-992411,1.14785e+06,-7.0695e+06,7332.08,-386.022,-1089.86,-1.0369e+06,1.13367e+06,-7.0654e+06,7323.76,-405.264,-1137.75,-5.23779e+10,-1.26514e+11,-5.4852e+10,35655.4,-9980.64,-5249.41,-5.30285e+10,-1.26522e+11,-5.42058e+10,35596.9,-10074.1,-5463.35,-0.000404642,-0.00166067,0.00219753,
50,9.51029e-05,-0.000271883,9.28323e-05,0.00119015,-0.00339844,0.0011587,0.999993,1.89314e-07,-5.43819e-07,1.86744e-07,3.02626e-05,988745,-1.14766e+06,7.07005e+06,-7332.6,386.624,1086.14,-7324.14,406.25,1135.01,1.36093,1.30972,872823,-988745,1.14766e+06,-7.07005e+06,7332.6,-386.624,-1086.14,-1.03414e+06,1.13318e+06,-7.06589e+06,7324.14,-406.25,-1135.01,-5.23779e+10,-1.26514e+11,-5.4852e+10,35655.9,-9981.24,-5245.69,-5.30417e+10,-1.26522e+11,-5.41926e+10,35596.3,-10076.5,-5463.97,0.0022077,-0.000529972,0.00330366,
50.5,9.60494e-05,-0.000274602,9.37661e-05,0.00121404,-0.00346675,0.00118202,0.999993,1.89287e-07,-5.43821e-07,1.86776e-07,3.05653e-05,985078,-1.14746e+06,7.07059e+06,-7333.12,387.226,1082.42,-7324.5,407.241,1132.27,1.36129,1.30793,872826,-985078,1.14746e+06,-7.07059e+06,7333.12,-387.226,-1082.42,-1.03139e+06,1.13268e+06,-7.06637e+06,7324.5,-407.241,-1132.27,-5.23779e+10,-1.26514e+11,-5.48521e+10,35656.4,-9981.84,-5241.97,-5.3055e+10,-1.26522e+11,-5.41793e+10,35595.6,-10079.1,-5464.63,0.000936566,-0.00180153,0.00224349,
51,9.69958e-05,-0.000277321,9.47001e-05,0.00123817,-0.00353574,0.00120558,0.999992,1.89259e-07,-5.43822e-07,1.86808e-07,3.0868e-05,981412,-1.14727e+06,7.07113e+06,-7333.64,387.828,1078.7,-7324.87,408.235,1129.54,1.36165,1.30613,872828,-981412,1.14727e+06,-7.07113e+06,7333.64,-387.828,-1078.7,-1.02865e+06,1.13219e+06,-7.06684e+06,7324.87,-408.235,-1129.54,-5.23779e+10,-1.26514e+11,-5.48521e+10,35656.9,-9982.44,-5238.25,-5.30684e+10,-1.26522e+11,-5.41659e+10,35594.9,-10081.6,-5465.34,0.00156337,-0.000340922,0.00252211,
51.5,9.7942e-05,-0.00028004,9.56342e-05,0.00126254,-0.00360541,0.00122937,0.999992,1.8923e-07,-5.43824e-07,1.8684e-07,3.11707e-05,977745,-1.14708e+06,7.07167e+06,-7334.15,388.43,1074.98,-7325.23,409.232,1126.83,1.362,1.30433,872830,-977745,1.14708e+06,-7.07167e+06,7334.15,-388.43,-1074.98,-1.02592e+06,1.13169e+06,-7.06732e+06,7325.23,-409.232,-1126.83,-5.23779e+10,-1.26514e+11,-5.48521e+10,35657.4,-9983.04,-5234.53,-5.30819e+10,-1.26522e+11,-5.41524e+10,35594.2,-10084.1,-5466.09,0.0020345,-0.00108022,0.00317668,
52,9.88881e-05,-0.000282759,9.65684e-05,0.00128714,-0.00367576,0.0012534,0.999992,1.89201e-07,-5.43825e-07,1.86872e-07,3.14734e-05,974078,-1.14688e+06,7.0722e+06,-7334.66,389.032,1071.26,-7325.59,410.233,1124.12,1.36236,1.30252,872832,-974078,1.14688e+06,-7.0722e+06,7334.66,-389.032,-1071.26,-1.0232e+06,1.13119e+06,-7.06779e+06,7325.59,-410.233,-1124.12,-5.23778e+10,-1.26514e+11,-5.48521e+10,35658,-9983.64,-5230.81,-5.30956e+10,-1.26522e+11,-5.41387e+10,35593.5,-10086.7,-5466.88,0.00105289,-0.00296991,0.00125757,
52.5,9.98341e-05,-0.000285479,9.75029e-05,0.00131198,-0.00374679,0.00127765,0.999991,1.89172e-07,-5.43827e-07,1.86905e-07,3.1776e-05,970410,-1.14669e+06,7.07274e+06,-7335.17,389.634,1067.54,-7325.95,411.238,1121.42,1.36271,1.30071,872834,-970410,1.14669e+06,-7.07274e+06,7335.17,-389.634,-1067.54,-1.02048e+06,1.13068e+06,-7.06827e+06,7325.95,-411.238,-1121.42,-5.23778e+10,-1.26514e+11,-5.48521e+10,35658.5,-9984.24,-5227.09,-5.31094e+10,-1.26522e+11,-5.41248e+10,35592.7,-10089.3,-5467.71,0.00134022,-0.00148641,0.00142304,
53,0.00010078,-0.000288198,9.84374e-05,0.00133706,-0.0038185,0.00130215,0.999991,1.89143e-07,-5.43828e-07,1.86938e-07,3.20787e-05,966742,-1.14649e+06,7.07327e+06,-7335.68,390.235,1063.82,-7326.3,412.246,1118.73,1.36307,1.29889,872836,-966742,1.14649e+06,-7.07327e+06,7335.68,-390.235,-1063.82,-1.01778e+06,1.13017e+06,-7.06874e+06,7326.3,-412.246,-1118.73,-5.23778e+10,-1.26514e+11,-5.48521e+10,35659,-9984.84,-5223.36,-5.31234e+10,-1.26523e+11,-5.41109e+10,35592,-10091.9,-5468.59,-0.000228291,-0.00170953,0.00263049,
53.5,0.000101726,-0.000290917,9.93722e-05,0.00136237,-0.00389089,0.00132687,0.999991,1.89113e-07,-5.4383e-07,1.86971e-07,3.23814e-05,963074,-1.1463e+06,7.0738e+06,-7336.19,390.837,1060.1,-7326.65,413.258,1116.06,1.36342,1.29706,872838,-963074,1.1463e+06,-7.0738e+06,7336.19,-390.837,-1060.1,-1.01508e+06,1.12965e+06,-7.06921e+06,7326.65,-413.258,-1116.06,-5.23778e+10,-1.26514e+11,-5.48521e+10,35659.5,-9985.44,-5219.64,-5.31375e+10,-1.26523e+11,-5.40968e+10,35591.2,-10094.5,-5469.52,-0.000288469,-0.00055019,0.0020105,
54,0.000102671,-0.000293636,0.000100307,0.00138792,-0.00396396,0.00135183,0.99999,1.89083e-07,-5.43831e-07,1.87004e-07,3.26841e-05,959406,-1.1461e+06,7.07433e+06,-7336.69,391.438,1056.38,-7327,414.273,1113.39,1.36377,1.29523,872840,-959406,1.1461e+06,-7.07433e+06,7336.69,-391.438,-1056.38,-1.0124e+06,1.12914e+06,-7.06967e+06,7327,-414.273,-1113.39,-5.23778e+10,-1.26514e+11,-5.48521e+10,35660,-9986.03,-5215.92,-5.31517e+10,-1.26523e+11,-5.40826e+10,35590.5,-10097.2,-5470.48,0.00170906,-0.00175864,0.00376735,
54.5,0.000103616,-0.000296355,0.000101242,0.0014137,-0.00403771,0.00137702,0.99999,1.89053e-07,-5.43833e-07,1.87038e-07,3.29868e-05,955738,-1.14591e+06,7.07486e+06,-7337.19,392.04,1052.66,-7327.35,415.292,1110.73,1.36412,1.29339,872842,-955738,1.14591e+06,-7.07486e+06,7337.19,-392.04,-1052.66,-1.00972e+06,1.12862e+06,-7.07014e+06,7327.35,-415.292,-1110.73,-5.23778e+10,-1.26514e+11,-5.48521e+10,35660.5,-9986.63,-5212.2,-5.3166e+10,-1.26523e+11,-5.40682e+10,35589.7,-10099.9,-5471.49,0.000410625,-0.00169619,0.00183836,
55,0.000104562,-0.000299074,0.000102177,0.00143973,-0.00411213,0.00140245,0.99999,1.89022e-07,-5.43835e-07,1.87072e-07,3.32895e-05,952069,-1.14571e+06,7.07538e+06,-7337.69,392.641,1048.93,-7327.69,416.314,1108.08,1.36447,1.29155,872844,-952069,1.14571e+06,-7.07538e+06,7337.69,-392.641,-1048.93,-1.00705e+06,1.12809e+06,-7.0706e+06,7327.69,-416.314,-1108.08,-5.23777e+10,-1.26514e+11,-5.48521e+10,35661,-9987.23,-5208.47,-5.31805e+10,-1.26523e+11,-5.40537e+10,35588.9,-10102.5,-5472.54,-0.00137224,-0.00137698,0.00297876,
55.5,0.000105507,-0.000301793,0.000103113,0.00146598,-0.00418724,0.00142811,0.999989,1.88991e-07,-5.43836e-07,1.87106e-07,3.35921e-05,948400,-1.14551e+06,7.07591e+06,-7338.19,393.242,1045.21,-7328.03,417.34,1105.44,1.36482,1.2897,872846,-948400,1.14551e+06,-7.07591e+06,7338.19,-393.242,-1045.21,-1.00439e+06,1.12756e+06,-7.07106e+06,7328.03,-417.34,-1105.44,-5.23777e+10,-1.26514e+11,-5.48521e+10,35661.5,-9987.83,-5204.75,-5.3195e+10,-1.26523e+11,-5.40391e+10,35588.1,-10105.2,-5473.64,0.00110986,-0.00183108,0.00318058,
56,0.000106452,-0.000304513,0.000104048,0.00149248,-0.00426303,0.00145401,0.999989,1.8896e-07,-5.43838e-07,1.87141e-07,3.38948e-05,944731,-1.14532e+06,7.07643e+06,-7338.69,393.843,1041.49,-7328.37,418.37,1102.8,1.36517,1.28785,872848,-944731,1.14532e+06,-7.07643e+06,7338.69,-393.843,-1041.49,-1.00174e+06,1.12703e+06,-7.07152e+06,7328.37,-418.37,-1102.8,-5.23777e+10,-1.26514e+11,-5.48521e+10,35662,-9988.43,-5201.03,-5.32098e+10,-1.26523e+11,-5.40243e+10,35587.3,-10108,-5474.77,0.00165517,-0.00188682,0.00297577,
56.5,0.000107396,-0.000307232,0.000104984,0.00151921,-0.0043395,0.00148014,0.999988,1.88928e-07,-5.43839e-07,1.87175e-07,3.41975e-05,941061,-1.14512e+06,7.07695e+06,-7339.18,394.444,1037.77,-7328.7,419.403,1100.18,1.36552,1.28598,872850,-941061,1.14512e+06,-7.07695e+06,7339.18,-394.444,-1037.77,-999099,1.1265e+06,-7.07198e+06,7328.7,-419.403,-1100.18,-5.23777e+10,-1.26514e+11,-5.48521e+10,35662.5,-9989.03,-5197.3,-5.32246e+10,-1.26523e+11,-5.40094e+10,35586.4,-10110.7,-5475.95,0.00117677,-0.00229314,0.00238142,
57,0.000108341,-0.000309951,0.00010592,0.00154617,-0.00441664,0.0015065,0.999988,1.88896e-07,-5.43841e-07,1.8721e-07,3.45002e-05,937391,-1.14492e+06,7.07747e+06,-7339.68,395.045,1034.04,-7329.03,420.439,1097.57,1.36587,1.28412,872852,-937391,1.14492e+06,-7.07747e+06,7339.68,-395.045,-1034.04,-996466,1.12596e+06,-7.07244e+06,7329.03,-420.439,-1097.57,-5.23777e+10,-1.26514e+11,-5.48521e+10,35663,-9989.63,-5193.58,-5.32396e+10,-1.26523e+11,-5.39944e+10,35585.6,-10113.5,-5477.18,0.00195826,-0.00172102,0.00186446,
57.5,0.000109285,-0.00031267,0.000106856,0.00157338,-0.00449447,0.0015331,0.999987,1.88863e-07,-5.43843e-07,1.87246e-07,3.48029e-05,933722,-1.14472e+06,7.07798e+06,-7340.17,395.645,1030.32,-7329.36,421.479,1094.97,1.36622,1.28224,872854,-933722,1.14472e+06,-7.07798e+06,7340.17,-395.645,-1030.32,-993843,1.12541e+06,-7.07289e+06,7329.36,-421.479,-1094.97,-5.23776e+10,-1.26514e+11,-5.48521e+10,35663.5,-9990.22,-5189.85,-5.32547e+10,-1.26524e+11,-5.39792e+10,35584.7,-10116.2,-5478.45,-0.000592933,-0.00213455,0.00194442,
58,0.000110229,-0.000315389,0.000107793,0.00160082,-0.00457298,0.00155993,0.999987,1.88831e-07,-5.43844e-07,1.87281e-07,3.51056e-05,930051,-1.14453e+06,7.0785e+06,-7340.66,396.246,1026.6,-7329.69,422.523,1092.37,1.36657,1.28036,872856,-930051,1.14453e+06,-7.0785e+06,7340.66,-396.246,-1026.6,-991228,1.12487e+06,-7.07334e+06,7329.69,-422.523,-1092.37,-5.23776e+10,-1.26514e+11,-5.48521e+10,35664,-9990.82,-5186.13,-5.327e+10,-1.26524e+11,-5.39639e+10,35583.8,-10119,-5479.76,0.00134724,-0.00103607,0.00276303,
58.5,0.000111174,-0.000318109,0.000108729,0.00162849,-0.00465216,0.00158699,0.999987,1.88797e-07,-5.43846e-07,1.87317e-07,3.54083e-05,926381,-1.14433e+06,7.07901e+06,-7341.14,396.847,1022.87,-7330.01,423.57,1089.79,1.36691,1.27848,872858,-926381,1.14433e+06,-7.07901e+06,7341.14,-396.847,-1022.87,-988623,1.12432e+06,-7.07379e+06,7330.01,-423.57,-1089.79,-5.23776e+10,-1.26514e+11,-5.48521e+10,35664.5,-9991.42,-5182.41,-5.32854e+10,-1.26524e+11,-5.39484e+10,35582.9,-10121.9,-5481.11,0.000560539,-0.00166297,0.00172538,
59,0.000112118,-0.000320828,0.000109666,0.0016564,-0.00473203,0.00161429,0.999986,1.88764e-07,-5.43848e-07,1.87353e-07,3.5711e-05,922710,-1.14413e+06,7.07952e+06,-7341.63,397.447,1019.15,-7330.34,424.621,1087.22,1.36726,1.27658,872860,-922710,1.14413e+06,-7.07952e+06,7341.63,-397.447,-1019.15,-986026,1.12377e+06,-7.07424e+06,7330.34,-424.621,-1087.22,-5.23776e+10,-1.26514e+11,-5.48521e+10,35664.9,-9992.02,-5178.68,-5.33009e+10,-1.26524e+11,-5.39329e+10,35582,-10124.7,-5482.51,0.00269906,-0.00205299,0.00197921,
59.5,0.000113061,-0.000323547,0.000110603,0.00168455,-0.00481258,0.00164182,0.999986,1.8873e-07,-5.43849e-07,1.87389e-07,3.60137e-05,919039,-1.14393e+06,7.08003e+06,-7342.11,398.047,1015.43,-7330.65,425.675,1084.65,1.3676,1.27468,872862,-919039,1.14393e+06,-7.08003e+06,7342.11,-398.047,-1015.43,-983438,1.12321e+06,-7.07469e+06,7330.65,-425.675,-1084.65,-5.23776e+10,-1.26514e+11,-5.48521e+10,35665.4,-9992.61,-5174.95,-5.33165e+10,-1.26524e+11,-5.39172e+10,35581.1,-10127.5,-5483.94,0.000379753,-0.00105245,0.000971324,
60,0.000114005,-0.000326266,0.00011154,0.00171293,-0.0048938,0.00166959,0.999985,1.88696e-07,-5.43851e-07,1.87425e-07,3.63164e-05,915368,-1.14373e+06,7.08054e+06,-7342.59,398.647,1011.7,-7330.97,426.733,1082.1,1.36795,1.27278,872864,-915368,1.14373e+06,-7.08054e+06,7342.59,-398.647,-1011.7,-980860,1.12265e+06,-7.07514e+06,7330.97,-426.733,-1082.1,-5.23776e+10,-1.26514e+11,-5.48521e+10,35665.9,-9993.21,-5171.23,-5.33323e+10,-1.26524e+11,-5.39013e+10,35580.2,-10130.4,-5485.43,0.000376935,-0.00225236,0.0036101,
60.5,0.000114948,-0.000328986,0.000112477,0.00174155,-0.00497571,0.00169759,0.999985,1.88662e-07,-5.43853e-07,1.87462e-07,3.66191e-05,911697,-1.14353e+06,7.08104e+06,-7343.07,399.248,1007.98,-7331.28,427.795,1079.55,1.36829,1.27087,872866,-911697,1.14353e+06,-7.08104e+06,7343.07,-399.248,-1007.98,-978291,1.12209e+06,-7.07558e+06,7331.28,-427.795,-1079.55,-5.23775e+10,-1.26514e+11,-5.48521e+10,35666.4,-9993.81,-5167.5,-5.33482e+10,-1.26524e+11,-5.38853e+10,35579.2,-10133.3,-5486.95,-0.000128733,-0.00178698,0.000850364,
61,0.000115891,-0.000331705,0.000113414,0.0017704,-0.00505829,0.00172583,0.999984,1.88627e-07,-5.43855e-07,1.87499e-07,3.69218e-05,908025,-1.14333e+06,7.08154e+06,-7343.55,399.847,1004.25,-7331.59,428.859,1077.02,1.36864,1.26895,872868,-908025,1.14333e+06,-7.08154e+06,7343.55,-399.847,-1004.25,-975731,1.12152e+06,-7.07602e+06,7331.59,-428.859,-1077.02,-5.23775e+10,-1.26514e+11,-5.48521e+10,35666.9,-9994.41,-5163.78,-5.33642e+10,-1.26524e+11,-5.38692e+10,35578.2,-10136.2,-5488.52,0.000325574,-7.43688e-05,0.00220962,
61.5,0.000116835,-0.000334424,0.000114352,0.00179949,-0.00514156,0.0017543,0.999984,1.88592e-07,-5.43856e-07,1.87536e-07,3.72245e-05,904353,-1.14313e+06,7.08204e+06,-7344.03,400.447,1000.53,-7331.9,429.928,1074.49,1.36898,1.26703,872870,-904353,1.14313e+06,-7.08204e+06,7344.03,-400.447,-1000.53,-973179,1.12095e+06,-7.07647e+06,7331.9,-429.928,-1074.49,-5.23775e+10,-1.26514e+11,-5.48521e+10,35667.3,-9995,-5160.05,-5.33803e+10,-1.26524e+11,-5.3853e+10,35577.3,-10139.2,-5490.13,0.00228053,-0.00133535,0.000832048,
62,0.000117777,-0.000337144,0.00011529,0.00182882,-0.0052255,0.001783,0.999983,1.88556e-07,-5.43858e-07,1.87574e-07,3.75272e-05,900681,-1.14293e+06,7.08254e+06,-7344.5,401.047,996.8,-7332.21,431,1071.97,1.36932,1.2651,872872,-900681,1.14293e+06,-7.08254e+06,7344.5,-401.047,-996.8,-970637,1.12037e+06,-7.0769e+06,7332.21,-431,-1071.97,-5.23775e+10,-1.26514e+11,-5.48521e+10,35667.8,-9995.6,-5156.32,-5.33966e+10,-1.26524e+11,-5.38366e+10,35576.3,-10142.1,-5491.79,0.000706819,-0.00173847,0.00242574,
62.5,0.00011872,-0.000339863,0.000116227,0.00185838,-0.00531013,0.00181194,0.999983,1.8852e-07,-5.4386e-07,1.87611e-07,3.78299e-05,897009,-1.14273e+06,7.08304e+06,-7344.97,401.647,993.074,-7332.51,432.075,1069.47,1.36966,1.26316,872874,-897009,1.14273e+06,-7.08304e+06,7344.97,-401.647,-993.074,-968104,1.11979e+06,-7.07734e+06,7332.51,-432.075,-1069.47,-5.23775e+10,-1.26514e+11,-5.48521e+10,35668.3,-9996.2,-5152.6,-5.3413e+10,-1.26525e+11,-5.38201e+10,35575.3,-10145.1,-5493.48,0.000977096,-0.000347679,0.00302466,
63,0.000119663,-0.000342582,0.000117166,0.00188818,-0.00539543,0.00184111,0.999982,1.88484e-07,-5.43862e-07,1.87649e-07,3.81326e-05,893336,-1.14253e+06,7.08354e+06,-7345.44,402.246,989.348,-7332.81,433.154,1066.97,1.37,1.26122,872876,-893336,1.14253e+06,-7.08354e+06,7345.44,-402.246,-989.348,-965580,1.11921e+06,-7.07778e+06,7332.81,-433.154,-1066.97,-5.23775e+10,-1.26514e+11,-5.48521e+10,35668.8,-9996.8,-5148.87,-5.34296e+10,-1.26525e+11,-5.38034e+10,35574.2,-10148.1,-5495.23,0.00193803,-0.000443972,0.00234021,
63.5,0.000120605,-0.000345301,0.000118104,0.00191821,-0.00548141,0.00187052,0.999981,1.88447e-07,-5.43863e-07,1.87687e-07,3.84353e-05,889663,-1.14233e+06,7.08403e+06,-7345.91,402.846,985.622,-7333.11,434.236,1064.48,1.37034,1.25927,872878,-889663,1.14233e+06,-7.08403e+06,7345.91,-402.846,-985.622,-963065,1.11863e+06,-7.07821e+06,7333.11,-434.236,-1064.48,-5.23774e+10,-1.26514e+11,-5.48521e+10,35669.2,-9997.39,-5145.14,-5.34463e+10,-1.26525e+11,-5.37867e+10,35573.2,-10151.1,-5497.01,-0.00277391,-0.00213622,0.000590227,
64,0.000121547,-0.000348021,0.000119042,0.00194848,-0.00556808,0.00190016,0.999981,1.8841e-07,-5.43865e-07,1.87725e-07,3.8738e-05,885990,-1.14213e+06,7.08452e+06,-7346.37,403.445,981.895,-7333.4,435.322,1062,1.37068,1.25731,872880,-885990,1.14213e+06,-7.08452e+06,7346.37,-403.445,-981.895,-960558,1.11804e+06,-7.07864e+06,7333.4,-435.322,-1062,-5.23774e+10,-1.26514e+11,-5.48521e+10,35669.7,-9997.99,-5141.41,-5.34631e+10,-1.26525e+11,-5.37697e+10,35572.2,-10154.1,-5498.84,-0.000379638,-0.00123097,0.00387753,
64.5,0.000122489,-0.00035074,0.000119981,0.00197898,-0.00565542,0.00193004,0.99998,1.88373e-07,-5.43867e-07,1.87764e-07,3.90407e-05,882317,-1.14193e+06,7.08501e+06,-7346.84,404.044,978.169,-7333.69,436.412,1059.53,1.37102,1.25535,872882,-882317,1.14193e+06,-7.08501e+06,7346.84,-404.044,-978.169,-958062,1.11745e+06,-7.07908e+06,7333.69,-436.412,-1059.53,-5.23774e+10,-1.26514e+11,-5.48521e+10,35670.2,-9998.59,-5137.69,-5.348e+10,-1.26525e+11,-5.37527e+10,35571.1,-10157.1,-5500.7,-0.000357866,-9.63001e-05,0.00196811,
65,0.000123431,-0.000353459,0.00012092,0.00200972,-0.00574345,0.00196015,0.99998,1.88335e-07,-5.43869e-07,1.87803e-07,3.93434e-05,878643,-1.14172e+06,7.0855e+06,-7347.3,404.643,974.441,-7333.98,437.504,1057.07,1.37135,1.25338,872884,-878643,1.14172e+06,-7.0855e+06,7347.3,-404.643,-974.441,-955574,1.11685e+06,-7.0795e+06,7333.98,-437.504,-1057.07,-5.23774e+10,-1.26514e+11,-5.48521e+10,35670.6,-9999.18,-5133.96,-5.34971e+10,-1.26525e+11,-5.37355e+10,35570,-10160.2,-5502.62,0.00109483,-0.00209878,0.00142551,
65.5,0.000124373,-0.000356179,0.000121859,0.0020407,-0.00583215,0.0019905,0.999979,1.88297e-07,-5.43871e-07,1.87842e-07,3.96461e-05,874970,-1.14152e+06,7.08599e+06,-7347.76,405.242,970.714,-7334.27,438.601,1054.62,1.37169,1.25141,872886,-874970,1.14152e+06,-7.08599e+06,7347.76,-405.242,-970.714,-953095,1.11625e+06,-7.07993e+06,7334.27,-438.601,-1054.62,-5.23774e+10,-1.26514e+11,-5.48521e+10,35671.1,-9999.78,-5130.23,-5.35143e+10,-1.26525e+11,-5.37182e+10,35568.9,-10163.3,-5504.57,0.000266647,-0.00103667,0.00234315,
66,0.000125314,-0.000358898,0.000122798,0.0020719,-0.00592153,0.00202108,0.999978,1.88258e-07,-5.43873e-07,1.87881e-07,3.99488e-05,871295,-1.14132e+06,7.08647e+06,-7348.22,405.841,966.986,-7334.55,439.701,1052.18,1.37203,1.24943,872887,-871295,1.14132e+06,-7.08647e+06,7348.22,-405.841,-966.986,-950625,1.11565e+06,-7.08036e+06,7334.55,-439.701,-1052.18,-5.23773e+10,-1.26514e+11,-5.48521e+10,35671.5,-10000.4,-5126.5,-5.35316e+10,-1.26525e+11,-5.37007e+10,35567.8,-10166.4,-5506.57,0.00259638,-0.000589482,0.000742283,
