Date time,time[sec],omega_t_b(X)[rad/s],omega_t_b(Y)[rad/s],omega_t_b(Z)[rad/s],q_t_i2b(0)[-],q_t_i2b(1)[-],q_t_i2b(2)[-],q_t_i2b(3)[-],torque_t_b(X)[Nm],torque_t_b(Y)[Nm],torque_t_b(Z)[Nm],h_total[Nms],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],lat[rad],lon[rad],alt[m],MTT_ADCS_b(X)[Am],MTT_ADCS_b(Y)[Am],MTT_ADCS_b(Z)[Am],Control_ADCS_b(X)[Nm],Control_ADCS_b(Y)[Nm],Control_ADCS_b(Z)[Nm],Theta_error [rad],Vector_dir_b(X) [-],Vector_dir_b(Y) [-],Vector_dir_b(Z) [-],Vector_tar_b(X) [-],Vector_tar_b(Y) [-],Vector_tar_b(Z) [-],Vector_tar_i(X) [-],Vector_tar_i(Y) [-],Vector_tar_i(Z) [-],Vector_dir_tar_b(X) [-],Vector_dir_tar_b(Y) [-],Vector_dir_tar_b(Z) [-],Omega_b_tar(X) [rad/s],Omega_b_tar(Y) [rad/s],Omega_b_tar(Z) [rad/s],Calculation_time [sec],Cost_function [-],GST [rad],Earth_pos_i(X) [m],Earth_pos_i(Y) [m],Earth_pos_i(Z) [m],Earth_vel_i(X) [m],Earth_vel_i(Y) [m],Earth_vel_i(Z) [m],Earth_pos_b(X) [m],Earth_pos_b(Y) [m],Earth_pos_b(Z) [m],Earth_vel_b(X) [m],Earth_vel_b(Y) [m],Earth_vel_b(Z) [m],Earth_pos_sc_i(X) [m],Earth_pos_sc_i(Y) [m],Earth_pos_sc_i(Z) [m],Earth_vel_sc_i(X) [m],Earth_vel_sc_i(Y) [m],Earth_vel_sc_i(Z) [m],Sun_pos_i(X) [m],Sun_pos_i(Y) [m],Sun_pos_i(Z) [m],Sun_vel_i(X) [m],Sun_vel_i(Y) [m],Sun_vel_i(Z) [m],Sun_pos_b(X) [m],Sun_pos_b(Y) [m],Sun_pos_b(Z) [m],Sun_vel_b(X) [m],Sun_vel_b(Y) [m],Sun_vel_b(Z) [m],Sun_pos_sc_i(X) [m],Sun_pos_sc_i(Y) [m],Sun_pos_sc_i(Z) [m],Sun_vel_sc_i(X) [m],Sun_vel_sc_i(Y) [m],Sun_vel_sc_i(Z) [m]
2020-01-28 00:00:00,0.0,0.1,-0.5,0.3,0.0,0.0,0.0,1.0,-0.0001,0.0001,-0.0001,0.01796969671419081,326219.2076915168,6797305.435762373,-1051751.3280220118,1033.8983888809823,1094.2822945796968,7454.347346103944,-0.15428112376354752,-0.6890901168752026,508288.9555207938,0,0,0,-0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1728339195251465,1.692836358074541,2.2119308090456684,0.0,0.0,0.0,0.0,0.0,0.0,-326219.2076915168,-6797305.435762373,1051751.3280220118,-1033.8983888809823,-1094.2822945796968,-7454.347346103944,-326219.2076915168,-6797305.435762373,1051751.3280220118,-1033.8983888809823,-1094.2822945796968,-7454.347346103944,89140121037.08675,-107603360877.62447,-46646583911.1731,24206.517082431346,16651.75009551613,7217.907467538598,89139794817.87906,-107610158183.06023,-46645532159.84508,23172.618693550365,15557.467800936434,-236.43987856534568,89139794817.87906,-107610158183.06023,-46645532159.84508,23172.618693550365,15557.467800936434,-236.43987856534568
2020-01-28 00:00:00,0.5,0.038810079662154655,-0.5068091807673886,0.2928571428571428,0.017333467243508777,-0.12573390072675875,0.073515046605386,0.9891845505485615,-0.0001,0.0001,-0.0001,0.017907977713634515,326219.2076915168,6797305.435762373,-1051751.3280220118,1033.8983888809823,1094.2822945796968,7454.347346103944,-0.15428112376354752,-0.6890901168752026,508288.9555207938,0,0,0,-0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2184641361236572,1.664479200611664,2.2119308090456684,0.0,0.0,0.0,0.0,0.0,0.0,-326219.2076915168,-6797305.435762373,1051751.3280220118,-1033.8983888809823,-1094.2822945796968,-7454.347346103944,-326219.2076915168,-6797305.435762373,1051751.3280220118,-1033.8983888809823,-1094.2822945796968,-7454.347346103944,89140121037.08675,-107603360877.62447,-46646583911.1731,24206.517082431346,16651.75009551613,7217.907467538598,89139794817.87906,-107610158183.06023,-46645532159.84508,23172.618693550365,15557.467800936434,-236.43987856534568,89139794817.87906,-107610158183.06023,-46645532159.84508,23172.618693550365,15557.467800936434,-236.43987856534568
2020-01-28 00:00:01,1.0,-0.021306829316106078,-0.5063931641963941,0.2857142857142857,0.019590865535605982,-0.2506357211377308,0.14178733832613286,0.9574415303128051,0.0001,0.0001,-0.0001,0.01785182964593318,327252.8992059641,6798395.5579806855,-1044296.3831422671,1033.4990117474908,1085.973118963313,7455.631952267657,-0.15317942532722403,-0.6893070586753756,508272.47893080115,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8121123313903809,1.636383258442175,2.2120037298133752,0.0,0.0,0.0,0.0,0.0,0.0,-1545024.6370271964,-6462813.346142052,1805761.3581427052,-4765.94473164882,-500.51582906015176,-5905.011460598315,-327252.8992059641,-6798395.5579806855,1044296.3831422671,-1033.4990117474908,-1085.973118963313,-7455.631952267657,89140145243.46344,-107603344225.9674,-46646576693.305954,24206.513353223967,16651.75457026096,7217.909410038924,23550373698.633984,-126712810405.60425,-71350537606.77917,23287.84462359524,8416.769636581435,-12890.808335357682,89139817990.56424,-107610142621.52539,-46645532396.92281,23173.014341476475,15565.781451297647,-237.7225422287329
2020-01-28 00:00:01,1.5,-0.07669430599445445,-0.49942679504756804,0.2785714285714286,0.007931903328693563,-0.37135510395679494,0.20179418789856227,0.9062624219315185,0.0001,0.0001,-0.0001,0.01779202621189431,327252.8992059641,6798395.5579806855,-1044296.3831422671,1033.4990117474908,1085.973118963313,7455.631952267657,-0.15317942532722403,-0.6893070586753756,508272.47893080115,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6246490478515625,1.6083273460809528,2.2120037298133752,0.0,0.0,0.0,0.0,0.0,0.0,-1545024.6370271964,-6462813.346142052,1805761.3581427052,-4765.94473164882,-500.51582906015176,-5905.011460598315,-327252.8992059641,-6798395.5579806855,1044296.3831422671,-1033.4990117474908,-1085.973118963313,-7455.631952267657,89140145243.46344,-107603344225.9674,-46646576693.305954,24206.513353223967,16651.75457026096,7217.909410038924,23550373698.633984,-126712810405.60425,-71350537606.77917,23287.84462359524,8416.769636581435,-12890.808335357682,89139817990.56424,-107610142621.52539,-46645532396.92281,23173.014341476475,15565.781451297647,-237.7225422287329
2020-01-28 00:00:02,2.0,-0.12955306889711843,-0.4866413927409296,0.2714285714285714,-0.015981765713822097,-0.484839341644943,0.25101263123963136,0.8376562868600246,0.0001,0.0001,-0.0001,0.017727794770278943,328286.19071777904,6799477.370415325,-1036840.1582363772,1033.0983687886926,1077.6625627982592,7456.907427960317,-0.15207771567784786,-0.6895239524832666,508256.03288100753,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7050843238830566,1.5803813820608688,2.212076650588358,0.0,0.0,0.0,0.0,0.0,0.0,-2263435.391376406,-6086334.453197025,2291090.3518694704,-6884.197927148809,1491.8002361523402,-2866.4382399201304,-328286.19071777904,-6799477.370415325,1036840.1582363772,-1033.0983687886926,-1077.6625627982592,-7456.907427960317,89140169449.83643,-107603327574.3059,-46646569475.436874,24206.509624015587,16651.759045005023,7217.911352538915,-48435440735.7376,-117496276076.92438,-74500265975.20828,15956.947990347568,4282.279477355782,-22508.986713670365,89139841163.6457,-107610127051.67632,-46645532635.27864,23173.411255226896,15574.096482206764,-238.99607542140257
2020-01-28 00:00:02,2.5,-0.17934858858347083,-0.4686469753820352,0.26428571428571423,-0.05041278636284537,-0.5884514326232653,0.2873544472531541,0.754062917838157,0.0001,0.0001,-0.0001,0.017659911724240748,328286.19071777904,6799477.370415325,-1036840.1582363772,1033.0983687886926,1077.6625627982592,7456.907427960317,-0.15207771567784786,-0.6895239524832666,508256.03288100753,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4991519451141357,1.5526567487998961,2.212076650588358,0.0,0.0,0.0,0.0,0.0,0.0,-2263435.391376406,-6086334.453197025,2291090.3518694704,-6884.197927148809,1491.8002361523402,-2866.4382399201304,-328286.19071777904,-6799477.370415325,1036840.1582363772,-1033.0983687886926,-1077.6625627982592,-7456.907427960317,89140169449.83643,-107603327574.3059,-46646569475.436874,24206.509624015587,16651.759045005023,7217.911352538915,-48435440735.7376,-117496276076.92438,-74500265975.20828,15956.947990347568,4282.279477355782,-22508.986713670365,89139841163.6457,-107610127051.67632,-46645532635.27864,23173.411255226896,15574.096482206764,-238.99607542140257
2020-01-28 00:00:03,3.0,-0.22565873352060623,-0.4460793863795301,0.25714285714285706,-0.09329496892787423,-0.6799758368488985,0.3092862100106592,0.6582332036380644,0.0001,0.0001,-0.0001,0.017589148263472174,329319.08096140856,6800550.871690856,-1029382.6624354656,1032.6964604813093,1069.350636291099,7458.173771491841,-0.15097599486838245,-0.6897407986395878,508239.617414156,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.376415729522705,1.525259714472993,2.212149571341513,0.0,0.0,0.0,0.0,0.0,0.0,-2731496.8882233365,-5848211.160985326,2398525.1400425523,-6697.122829527292,3496.3261479697976,870.9638579428262,-329319.08096140856,-6800550.871690856,1029382.6624354656,-1032.6964604813093,-1069.350636291099,-7458.173771491841,89140193656.25183,-107603310922.60811,-46646562257.55209,24206.505894799087,16651.763519756838,7217.913295042278,-106876535207.5577,-84785406785.4173,-55592250006.86135,5431.123365131626,5965.211177878126,-26736.004089269918,89139864337.17087,-107610111473.4798,-46645532874.889656,23173.80943431778,15582.412883465739,-240.2604764495627
2020-01-28 00:00:03,3.5,-0.2681683970686618,-0.41958368561464454,0.24999999999999992,-0.14232912443800086,-0.7576591162470638,0.31585003771354714,0.5531128615217522,0.0001,0.0001,-0.0001,0.01751625899171743,329319.08096140856,6800550.871690856,-1029382.6624354656,1032.6964604813093,1069.350636291099,7458.173771491841,-0.15097599486838245,-0.6897407986395878,508239.617414156,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.577285051345825,1.4982902133866112,2.212149571341513,0.0,0.0,0.0,0.0,0.0,0.0,-2731496.8882233365,-5848211.160985326,2398525.1400425523,-6697.122829527292,3496.3261479697976,870.9638579428262,-329319.08096140856,-6800550.871690856,1029382.6624354656,-1032.6964604813093,-1069.350636291099,-7458.173771491841,89140193656.25183,-107603310922.60811,-46646562257.55209,24206.505894799087,16651.763519756838,7217.913295042278,-106876535207.5577,-84785406785.4173,-55592250006.86135,5431.123365131626,5965.211177878126,-26736.004089269918,89139864337.17087,-107610111473.4798,-46645532874.889656,23173.80943431778,15582.412883465739,-240.2604764495627
2020-01-28 00:00:04,4.0,-0.30666234633732947,-0.3897997312490715,0.24285714285714277,-0.1950796964855698,-0.8202300354903662,0.30666158325467646,0.4417298657033566,0.0001,0.0001,-0.0001,0.017441972101804645,330351.6102041096,6801616.103130919,-1021923.6047561866,1032.2932710572043,1061.0370151517257,7459.431031581526,-0.14987421862518846,-0.6899576062627586,508223.23191418964,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.671245813369751,1.471840907161411,2.2122224950341547,0.0,0.0,0.0,0.0,0.0,0.0,-3224826.7151954337,-5711102.253610814,2097437.808483353,-4589.048746342438,4206.783481477154,4367.853546489089,-330351.6102041096,-6801616.103130919,1021923.6047561866,-1032.2932710572043,-1061.0370151517257,-7459.431031581526,89140217863.58693,-107603294270.27066,-46646555039.390015,24206.50216543932,16651.76799467858,7217.91523761941,-139380101002.3006,-43298625177.511,-20001863520.785667,-3299.4942465150298,12772.653846733594,-24620.02907520432,89139887511.97673,-107610095886.3738,-46645533115.785255,23174.208894382115,15590.730979526854,-241.51579396211673
2020-01-28 00:00:04,4.5,-0.3410167711522604,-0.35734999121221017,0.23571428571428565,-0.24906831553019912,-0.8669005858727978,0.28188774020216106,0.32708966711907594,0.0001,0.0001,-0.0001,0.017366981075375123,330351.6102041096,6801616.103130919,-1021923.6047561866,1032.2932710572043,1061.0370151517257,7459.431031581526,-0.14987421862518846,-0.6899576062627586,508223.23191418964,0,0,0,0.0001,0.0001,-0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125495672225952,1.4459965069938563,2.2122224950341547,0.0,0.0,0.0,0.0,0.0,0.0,-3224826.7151954337,-5711102.253610814,2097437.808483353,-4589.048746342438,4206.783481477154,4367.853546489089,-330351.6102041096,-6801616.103130919,1021923.6047561866,-1032.2932710572043,-1061.0370151517257,-7459.431031581526,89140217863.58693,-107603294270.27066,-46646555039.390015,24206.50216543932,16651.76799467858,7217.91523761941,-139380101002.3006,-43298625177.511,-20001863520.785667,-3299.4942465150298,12772.653846733594,-24620.02907520432,89139887511.97673,-107610095886.3738,-46645533115.785255,23174.208894382115,15590.730979526854,-241.51579396211673
